Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,"To find out how many more bird families flew away to Africa than those that flew away to Asia, we first need to calculate the total number of bird families that flew away to each continent.  Total number of bird families = 41  Number of bird families that flew away to Asia = 35  Number of bird families that flew away to Africa = 62  To find the difference, we subtract the number of bird families that flew away to Asia from the number of bird families that flew away to Africa:  62 - 35 = 27  Therefore, 27 more bird families flew away to Africa than those that flew away to Asia.  # 27",,27.0
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,4,"To find out how many fishes disappeared, we need to subtract the number of fishes left from the initial total number of fishes.  Initial total number of fishes = 7 goldfish + 12 catfish = 19 fishes  Number of fishes disappeared = Initial total number of fishes - Number of fishes left Number of fishes disappeared = 19 - 15 Number of fishes disappeared = 4  Therefore, 4 fishes disappeared.  # 4",,4.0
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,16,"Let's denote the weight of the strawberries Marco collected as $x$ pounds and the weight of the strawberries his dad collected as $y$ pounds.  From the information given, we have the following system of equations: 1. $x + y = 22$ (the total weight of strawberries collected by Marco and his dad is 22 pounds) 2. $x + 30 = 36$ (after his dad found 30 more pounds of strawberries, Marco's strawberries weighed 36 pounds)  From equation 1, we can solve for $x$ in terms of $y$: $x = 22 - y$  Substitute this expression for $x$ into equation 2: $22 - y + 30 = 36$  Solving for $y$: $52 - y = 36$  $y = 52 - 36$  $y = 16$  Therefore, Marco's dad's strawberries weighed 16 pounds.  #  16",,16.0
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,"First, let's find out how many days the water bottles would last Debby.   Debby bought 200 water bottles and drank 312 water bottles at a rate of 4 bottles per day.  So, the water bottles would last her:  200 water bottles / 4 water bottles per day = 50 days  Now, let's find out how many days the soda bottles would last Debby.   Debby bought 256 soda bottles and drinks 4 soda bottles per day.  So, the soda bottles would last her:  256 soda bottles / 4 soda bottles per day = 64 days  Therefore, the soda bottles would last Debby for 64 days.  # 64",,64.0
There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,"Let's denote the amount Olivia spent at the supermarket as \(x\). We know that Olivia started with $106, spent $49 at the showroom, and had $26 left after visiting both places. Therefore, we can set up the equation:  \[106 - 49 - x = 26\]  Solving for \(x\):  \[57 - x = 26\]  \[x = 57 - 26\]  \[x = 31\]  Therefore, Olivia spent $31 at the supermarket.  #  # 31",,31.0
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,720,"Let's first find the total number of crayons Faye has:  Total number of crayons = 30 rows * 71 crayons/row = 2130 crayons  Now, let's find the total number of items (crayons + pencils) Faye has:  Total number of items = 30 rows * (71 crayons/row + 24 pencils/row) = 30 rows * (71 + 24) = 30 rows * 95 = 2850 items  Since we know that Faye has 2130 crayons, we can find the number of pencils she has by subtracting the number of crayons from the total number of items:  Number of pencils = Total number of items - Total number of crayons = 2850 items - 2130 crayons = 720 pencils  Therefore, Faye has 720 pencils.  #720",,720.0
Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,"Let's first find out how many marbles Doug had before he lost 11 marbles.  Since Ed had 10 more marbles than Doug, we can represent the number of marbles Doug had as $x$. This means Ed had $x + 10$ marbles.  Given that Ed had 45 marbles, we have:  $x + 10 = 45$  Solving for $x$:  $x = 45 - 10$  $x = 35$  So, Doug had 35 marbles before he lost 11 marbles.  After losing 11 marbles, Doug has:  $35 - 11 = 24$ marbles  Now, let's find out how many more marbles Ed had than Doug:  $45 - 24 = 21$  Therefore, Ed had 21 more marbles than Doug.  #  21",,21.0
26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,64,"To find the total number of children on the bus after 38 more children got on, we need to add the initial number of children to the number of children who got on at the bus stop.  Initial number of children on the bus = 26 Number of children who got on at the bus stop = 38  Total number of children on the bus = 26 + 38  Total number of children on the bus = 64  # 64",,64.0
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,450,"To find out how many cookies Helen baked till last night, we need to add up the number of cookies she baked each day.  Helen baked: - 31 cookies yesterday - 270 cookies this morning - 419 cookies the day before yesterday  Adding these numbers together: 31 + 270 + 419 = 720  Therefore, Helen baked 720 cookies till last night.  # 720",,720.0
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,143550,"To find the total number of oranges harvested after 87 days, we first need to find the total number of sacks harvested in 87 days and then multiply it by the number of oranges in each sack.  Number of sacks harvested in 87 days = 66 sacks/day * 87 days = 5742 sacks  Total number of oranges = 5742 sacks * 25 oranges/sack = 143,550 oranges  # 143,550",,143550.0
